Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/accounts,100,0,2400.0,3633.438924289949,576.3090359978378,16830.277925997507,913.0,1.7354327066014883,0.0,2400,3200,4600,5600,8400,12000,14000,17000,17000,17000,17000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A33.079728%2B00%3A00,1,0,6724.386834997858,6724.386834997858,6724.386834997858,6724.386834997858,57.0,0.01735432706601488,0.0,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A33.825094%2B00%3A00,1,0,6405.214147998777,6405.214147998777,6405.214147998777,6405.214147998777,57.0,0.01735432706601488,0.0,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A34.756946%2B00%3A00,1,0,5798.454749005032,5798.454749005032,5798.454749005032,5798.454749005032,57.0,0.01735432706601488,0.0,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A35.523314%2B00%3A00,1,0,5035.247980995337,5035.247980995337,5035.247980995337,5035.247980995337,57.0,0.01735432706601488,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A36.361929%2B00%3A00,1,0,4244.71314100083,4244.71314100083,4244.71314100083,4244.71314100083,57.0,0.01735432706601488,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A37.084063%2B00%3A00,1,0,5584.803723002551,5584.803723002551,5584.803723002551,5584.803723002551,57.0,0.01735432706601488,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A39.092323%2B00%3A00,1,0,4308.428894997633,4308.428894997633,4308.428894997633,4308.428894997633,57.0,0.01735432706601488,0.0,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A39.564440%2B00%3A00,1,0,3672.1170820019324,3672.1170820019324,3672.1170820019324,3672.1170820019324,57.0,0.01735432706601488,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A39.684289%2B00%3A00,1,0,7342.458853003336,7342.458853003336,7342.458853003336,7342.458853003336,57.0,0.01735432706601488,0.0,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300
